species,type,filename,url,declared_size,declared_bytes,date
Abies_alba,CDS,Abies_alba.rga.cds.fa,http://plantrg.bio2db.com/Abies_alba.rga.cds.fa,1.1MB,1153433,2024/4/8
Abies_alba,protein,Abies_alba.rga.pro.fa,http://plantrg.bio2db.com/Abies_alba.rga.pro.fa,389.0KB,398336,2024/4/8
Abrus_precatorius,CDS,Abrus_precatorius.rga.cds.fa,http://plantrg.bio2db.com/Abrus_precatorius.rga.cds.fa,5.1MB,5347737,2024/4/8
Abrus_precatorius,protein,Abrus_precatorius.rga.pro.fa,http://plantrg.bio2db.com/Abrus_precatorius.rga.pro.fa,1.7MB,1782579,2024/4/8
Acacia_pycnantha,CDS,Acacia_pycnantha.rga.cds.fa,http://plantrg.bio2db.com/Acacia_pycnantha.rga.cds.fa,6.3MB,6606028,2024/4/8
Acacia_pycnantha,protein,Acacia_pycnantha.rga.pro.fa,http://plantrg.bio2db.com/Acacia_pycnantha.rga.pro.fa,2.1MB,2202009,2024/4/8
Acanthochlamys_bracteata,CDS,Acanthochlamys_bracteata.rga.cds.fa,http://plantrg.bio2db.com/Acanthochlamys_bracteata.rga.cds.fa,2.1MB,2202009,2024/4/8
Acanthochlamys_bracteata,protein,Acanthochlamys_bracteata.rga.pro.fa,http://plantrg.bio2db.com/Acanthochlamys_bracteata.rga.pro.fa,735.3KB,752947,2024/4/8
Acer_catalpifolium,CDS,Acer_catalpifolium.rga.cds.fa,http://plantrg.bio2db.com/Acer_catalpifolium.rga.cds.fa,4.9MB,5138022,2024/4/11
Acer_catalpifolium,protein,Acer_catalpifolium.rga.pro.fa,http://plantrg.bio2db.com/Acer_catalpifolium.rga.pro.fa,1.6MB,1677721,2024/4/11
Acer_negundo,CDS,Acer_negundo.rga.cds.fa,http://plantrg.bio2db.com/Acer_negundo.rga.cds.fa,2.6MB,2726297,2024/4/8
Acer_negundo,protein,Acer_negundo.rga.pro.fa,http://plantrg.bio2db.com/Acer_negundo.rga.pro.fa,901.5KB,923136,2024/4/8
Acer_pseudosieboldianum,CDS,Acer_pseudosieboldianum.rga.cds.fa,http://plantrg.bio2db.com/Acer_pseudosieboldianum.rga.cds.fa,3.1MB,3250585,2024/4/11
Acer_pseudosieboldianum,protein,Acer_pseudosieboldianum.rga.pro.fa,http://plantrg.bio2db.com/Acer_pseudosieboldianum.rga.pro.fa,1.0MB,1048576,2024/4/11
Acer_yangbiense,CDS,Acer_yangbiense.rga.cds.fa,http://plantrg.bio2db.com/Acer_yangbiense.rga.cds.fa,3.3MB,3460300,2024/4/8
Acer_yangbiense,protein,Acer_yangbiense.rga.pro.fa,http://plantrg.bio2db.com/Acer_yangbiense.rga.pro.fa,1.1MB,1153433,2024/4/8
Achnatherum_splendens,CDS,Achnatherum_splendens.rga.cds.fa,http://plantrg.bio2db.com/Achnatherum_splendens.rga.cds.fa,4.1MB,4299161,2024/4/11
Achnatherum_splendens,protein,Achnatherum_splendens.rga.pro.fa,http://plantrg.bio2db.com/Achnatherum_splendens.rga.pro.fa,1.4MB,1468006,2024/4/11
Acorus_calamus,CDS,Acorus_calamus.rga.cds.fa,http://plantrg.bio2db.com/Acorus_calamus.rga.cds.fa,3.3MB,3460300,2024/4/8
Acorus_calamus,protein,Acorus_calamus.rga.pro.fa,http://plantrg.bio2db.com/Acorus_calamus.rga.pro.fa,1.1MB,1153433,2024/4/8
Acorus_gramineus,CDS,Acorus_gramineus.rga.cds.fa,http://plantrg.bio2db.com/Acorus_gramineus.rga.cds.fa,1.3MB,1363148,2024/4/8
Acorus_gramineus,protein,Acorus_gramineus.rga.pro.fa,http://plantrg.bio2db.com/Acorus_gramineus.rga.pro.fa,439.2KB,449740,2024/4/8
Actinidia_chinensis,CDS,Actinidia_chinensis.rga.cds.fa,http://plantrg.bio2db.com/Actinidia_chinensis.rga.cds.fa,3.4MB,3565158,2024/4/11
Actinidia_chinensis,protein,Actinidia_chinensis.rga.pro.fa,http://plantrg.bio2db.com/Actinidia_chinensis.rga.pro.fa,1.1MB,1153433,2024/4/11
Actinidia_hemsleyana,CDS,Actinidia_hemsleyana.rga.cds.fa,http://plantrg.bio2db.com/Actinidia_hemsleyana.rga.cds.fa,3.3MB,3460300,2024/4/8
Actinidia_hemsleyana,protein,Actinidia_hemsleyana.rga.pro.fa,http://plantrg.bio2db.com/Actinidia_hemsleyana.rga.pro.fa,1.1MB,1153433,2024/4/8
Actinidia_zhejiangensis,CDS,Actinidia_zhejiangensis.rga.cds.fa,http://plantrg.bio2db.com/Actinidia_zhejiangensis.rga.cds.fa,5.8MB,6081740,2024/4/8
Actinidia_zhejiangensis,protein,Actinidia_zhejiangensis.rga.pro.fa,http://plantrg.bio2db.com/Actinidia_zhejiangensis.rga.pro.fa,2.0MB,2097152,2024/4/8
Aegiceras_corniculatum,CDS,Aegiceras_corniculatum.rga.cds.fa,http://plantrg.bio2db.com/Aegiceras_corniculatum.rga.cds.fa,3.4MB,3565158,2024/4/11
Aegiceras_corniculatum,protein,Aegiceras_corniculatum.rga.pro.fa,http://plantrg.bio2db.com/Aegiceras_corniculatum.rga.pro.fa,1.2MB,1258291,2024/4/11
Aegilops_bicornis,CDS,Aegilops_bicornis.rga.cds.fa,http://plantrg.bio2db.com/Aegilops_bicornis.rga.cds.fa,4.3MB,4508876,2024/4/8
