species	type	filename	path	records	total_length	min_length	mean_length	median_length	p05_length	p95_length	max_length	n50_length	invalid_records	duplicate_ids	empty_records	cds_not_mod3	cds_no_start_atg	cds_no_terminal_stop	protein_has_stop	record_table
Abies_alba	CDS	Abies_alba.rga.cds.fa	downloads/sequences/CDS/Abies_alba.rga.cds.fa	1399	1121111	119	801.3659756969264	591	221.8	1986.8999999999992	3834	1092	0	0	0	299	218	470	0	model_project/data_audit/results/per_file_records/CDS/Abies_alba.rga.cds.fa.records.tsv
Abies_alba	protein	Abies_alba.rga.pro.fa	downloads/sequences/protein/Abies_alba.rga.pro.fa	1399	372683	38	266.3924231593996	196	73.0	661.2999999999997	1277	363	0	0	0	0	0	0	0	model_project/data_audit/results/per_file_records/protein/Abies_alba.rga.pro.fa.records.tsv
Abrus_precatorius	CDS	Abrus_precatorius.rga.cds.fa	downloads/sequences/CDS/Abrus_precatorius.rga.cds.fa	2558	5306895	414	2074.626661454261	1971.0	1002.0	3472.800000000001	10377	2352	0	0	0	0	4	3	0	model_project/data_audit/results/per_file_records/CDS/Abrus_precatorius.rga.cds.fa.records.tsv
Abrus_precatorius	protein	Abrus_precatorius.rga.pro.fa	downloads/sequences/protein/Abrus_precatorius.rga.pro.fa	2558	1768965	138	691.5422204847537	657.0	334.0	1157.6000000000004	3459	784	0	0	0	0	0	0	2555	model_project/data_audit/results/per_file_records/protein/Abrus_precatorius.rga.pro.fa.records.tsv
Acacia_pycnantha	CDS	Acacia_pycnantha.rga.cds.fa	downloads/sequences/CDS/Acacia_pycnantha.rga.cds.fa	3488	6522736	147	1870.0504587155963	1789.5	387.0	3816.899999999998	8190	2406	0	0	0	1	7	3	0	model_project/data_audit/results/per_file_records/CDS/Acacia_pycnantha.rga.cds.fa.records.tsv
Acacia_pycnantha	protein	Acacia_pycnantha.rga.pro.fa	downloads/sequences/protein/Acacia_pycnantha.rga.pro.fa	3488	2170760	48	622.3509174311927	595.5	128.0	1271.2999999999993	2729	801	0	0	0	0	0	0	0	model_project/data_audit/results/per_file_records/protein/Acacia_pycnantha.rga.pro.fa.records.tsv
Acanthochlamys_bracteata	CDS	Acanthochlamys_bracteata.rga.cds.fa	downloads/sequences/CDS/Acanthochlamys_bracteata.rga.cds.fa	1049	2195781	306	2093.213536701621	1995	921.6	3664.199999999999	8286	2358	0	0	0	0	0	0	0	model_project/data_audit/results/per_file_records/CDS/Acanthochlamys_bracteata.rga.cds.fa.records.tsv
Acanthochlamys_bracteata	protein	Acanthochlamys_bracteata.rga.pro.fa	downloads/sequences/protein/Acanthochlamys_bracteata.rga.pro.fa	1049	730878	101	696.7378455672068	664	306.20000000000005	1220.3999999999996	2761	787	0	0	0	0	0	0	0	model_project/data_audit/results/per_file_records/protein/Acanthochlamys_bracteata.rga.pro.fa.records.tsv
Acer_catalpifolium	CDS	Acer_catalpifolium.rga.cds.fa	downloads/sequences/CDS/Acer_catalpifolium.rga.cds.fa	2510	5051121	198	2012.3988047808764	1962.0	546.0	3687.2999999999984	10443	2436	0	0	0	0	1	0	0	model_project/data_audit/results/per_file_records/CDS/Acer_catalpifolium.rga.cds.fa.records.tsv
Acer_catalpifolium	protein	Acer_catalpifolium.rga.pro.fa	downloads/sequences/protein/Acer_catalpifolium.rga.pro.fa	2510	1681163	65	669.7860557768925	653.0	181.0	1228.0999999999995	3480	811	0	0	0	0	0	0	0	model_project/data_audit/results/per_file_records/protein/Acer_catalpifolium.rga.pro.fa.records.tsv
