species	cds_records	protein_records	paired_exact_ids	cds_only_ids	protein_only_ids	cds_total_length	protein_total_length
Abies_alba	1399	1399	1399	0	0	1121111	372683
Abrus_precatorius	2558	2558	2558	0	0	5306895	1768965
Acacia_pycnantha	3488	3488	3488	0	0	6522736	2170760
Acanthochlamys_bracteata	1049	1049	1049	0	0	2195781	730878
Acer_catalpifolium	2510	2510	2510	0	0	5051121	1681163
Acer_negundo	1483	1483	1483	0	0	2698119	897890
Acer_pseudosieboldianum	1719	1719	1719	0	0	3207486	1067443
Acer_yangbiense	1797	1797	1797	0	0	3382749	1125786
Achnatherum_splendens	2569	2569	2569	0	0	4294626	1428973
Acorus_calamus	2108	2108	2108	0	0	3379257	1124311
Acorus_gramineus	704	704	704	0	0	1311264	436384
Actinidia_chinensis	1794	1794	1794	0	0	3495311	1163327
Actinidia_hemsleyana	1990	1990	1990	0	0	3467778	1153936
Actinidia_zhejiangensis	3511	3511	3511	0	0	5992101	1993856
Aegiceras_corniculatum	1769	1769	1769	0	0	3566298	1187414
Aegilops_bicornis	2081	2081	2081	0	0	4497201	1496986
Aegilops_longissima	2283	2283	2283	0	0	5315643	1769598
Aegilops_searsii	2166	2166	2166	0	0	4967409	1653637
Aegilops_sharonensis	2271	2271	2271	0	0	5293932	1762373
Aegilops_speltoides	2138	2138	2138	0	0	4896915	1630167
Aegilops_umbellulata	1985	1985	1985	0	0	4198308	1399432
Aegle_marmelos	1149	1149	1149	0	0	2126935	708977
Aeschynomene_evenia	1367	1367	1367	0	0	2963373	987785
Aethionema_arabicum	1234	1234	1234	0	0	2605497	867278
Agastache_rugosa	1226	1226	1226	0	0	2078460	692820
Akebia_trifoliata	1331	1331	1331	0	0	2614977	870328
Aldrovanda_vesiculosa	1217	1217	1217	0	0	2298642	765115
Allium_cepa	1578	1578	1578	0	0	2298558	764616
Allium_fistulosum	1703	1703	1703	0	0	2466177	822041
Allium_sativum	2080	2080	2080	0	0	2792031	928641
Amaranthus_tricolor	1218	1218	1218	0	0	2337786	778044
Amaranthus_tuberculatus	1009	1009	1009	0	0	3553750	1184563
Amborella_trichopoda	1440	1440	1440	0	0	2256003	750646
Ammopiptanthus_nanus	1317	1317	1317	0	0	2654751	884917
Amorphophallus_konjac	1654	1654	1654	0	0	2945616	980241
Amphicarpaea_edgeworthii	1229	1229	1229	0	0	2029683	676556
Ananas_comosus	1256	1256	1256	0	0	2646615	881013
Andrographis_paniculata	1733	1733	1733	0	0	3471576	1155463
Angelica_sinensis	1716	1716	1716	0	0	2759112	917988
Anisodus_acutangulus	1936	1936	1936	0	0	3610242	1201478
Anisodus_luridus	3666	3666	3666	0	0	6361422	2116808
Annona_cherimola	2696	2696	2696	0	0	4071588	1354576
Anthoceros_agrestis	644	644	644	0	0	1192977	397016
Anthoceros_angustus	446	446	446	0	0	804213	267625
