species	total_records	kept_records	excluded_records	excluded_dot	excluded_internal_stop	excluded_invalid_chars	excluded_empty	terminal_stop_stripped_records	terminal_stop_stripped_chars	retention_rate
Abies_alba	1399	1399	0	0	0	0	0	0	0	1.000000
Abrus_precatorius	2558	2544	14	0	14	14	0	2555	2555	0.994527
Acacia_pycnantha	3488	3488	0	0	0	0	0	0	0	1.000000
Acanthochlamys_bracteata	1049	1049	0	0	0	0	0	0	0	1.000000
Acer_catalpifolium	2510	2510	0	0	0	0	0	0	0	1.000000
Acer_negundo	1483	1483	0	0	0	0	0	0	0	1.000000
Acer_pseudosieboldianum	1719	1719	0	0	0	0	0	0	0	1.000000
Acer_yangbiense	1797	1797	0	0	0	0	0	0	0	1.000000
Achnatherum_splendens	2569	2569	0	0	0	0	0	0	0	1.000000
Acorus_calamus	2108	2108	0	0	0	0	0	0	0	1.000000
Acorus_gramineus	704	704	0	0	0	0	0	0	0	1.000000
Actinidia_chinensis	1794	1794	0	0	0	0	0	0	0	1.000000
Actinidia_hemsleyana	1990	1990	0	0	0	0	0	0	0	1.000000
Actinidia_zhejiangensis	3511	3511	0	0	0	0	0	0	0	1.000000
Aegiceras_corniculatum	1769	1769	0	0	0	0	0	0	0	1.000000
Aegilops_bicornis	2081	2081	0	0	0	0	0	0	0	1.000000
Aegilops_longissima	2283	2283	0	0	0	0	0	0	0	1.000000
Aegilops_searsii	2166	2166	0	0	0	0	0	0	0	1.000000
Aegilops_sharonensis	2271	2271	0	0	0	0	0	0	0	1.000000
Aegilops_speltoides	2138	2138	0	0	0	0	0	0	0	1.000000
Aegilops_umbellulata	1985	1985	0	0	0	0	0	1985	1985	1.000000
Aegle_marmelos	1149	1149	0	0	0	0	0	1140	1140	1.000000
Aeschynomene_evenia	1367	1367	0	0	0	0	0	1359	1359	1.000000
Aethionema_arabicum	1234	1234	0	0	0	0	0	0	0	1.000000
Agastache_rugosa	1226	50	1176	1176	0	1176	0	0	0	0.040783
Akebia_trifoliata	1331	1331	0	0	0	0	0	0	0	1.000000
Aldrovanda_vesiculosa	1217	1217	0	0	0	0	0	0	0	1.000000
Allium_cepa	1578	1578	0	0	0	0	0	0	0	1.000000
Allium_fistulosum	1703	1700	3	0	3	3	0	1645	1645	0.998238
Allium_sativum	2080	2080	0	0	0	0	0	0	0	1.000000
Amaranthus_tricolor	1218	1218	0	0	0	0	0	0	0	1.000000
Amaranthus_tuberculatus	1009	5	1004	0	1004	1004	0	964	964	0.004955
Amborella_trichopoda	1440	1440	0	0	0	0	0	0	0	1.000000
Ammopiptanthus_nanus	1317	11	1306	1306	0	1306	0	0	0	0.008352
Amorphophallus_konjac	1654	1654	0	0	0	0	0	0	0	1.000000
Amphicarpaea_edgeworthii	1229	1229	0	0	0	0	0	1213	1213	1.000000
Ananas_comosus	1256	1256	0	0	0	0	0	0	0	1.000000
Andrographis_paniculata	1733	1733	0	0	0	0	0	0	0	1.000000
Angelica_sinensis	1716	1716	0	0	0	0	0	0	0	1.000000
Anisodus_acutangulus	1936	1936	0	0	0	0	0	0	0	1.000000
Anisodus_luridus	3666	3666	0	0	0	0	0	0	0	1.000000
Annona_cherimola	2696	2696	0	0	0	0	0	0	0	1.000000
Anthoceros_agrestis	644	644	0	0	0	0	0	0	0	1.000000
Anthoceros_angustus	446	446	0	0	0	0	0	0	0	1.000000
Anthoceros_punctatus	666	666	0	0	0	0	0	0	0	1.000000
Antirrhinum_hispanicum	1730	1728	2	0	2	2	0	0	0	0.998844
Antirrhinum_majus	1611	1611	0	0	0	0	0	0	0	1.000000
Apium_graveolens	1371	1371	0	0	0	0	0	0	0	1.000000
Apostasia_shenzhenica	758	758	0	0	0	0	0	0	0	1.000000
Aquilaria_sinensis	1461	1461	0	0	0	0	0	0	0	1.000000
Aquilegia_coerulea	1404	1404	0	0	0	0	0	0	0	1.000000
Arabidopsis_halleri	1536	1536	0	0	0	0	0	0	0	1.000000
Arabidopsis_lyrata	1506	1506	0	0	0	0	0	0	0	1.000000
Arabidopsis_suecica	2643	2643	0	0	0	0	0	0	0	1.000000
Arabidopsis_thaliana	1364	1364	0	0	0	0	0	0	0	1.000000
Arabis_alpina	1603	1603	0	0	0	0	0	0	0	1.000000
Arabis_nemorensis	980	980	0	0	0	0	0	0	0	1.000000
Arachis_hypogaea	4156	4156	0	0	0	0	0	0	0	1.000000
Aralia_elata	1837	1837	0	0	0	0	0	0	0	1.000000
Arctium_lappa	1657	1657	0	0	0	0	0	0	0	1.000000
Areca_catechu	1589	1589	0	0	0	0	0	0	0	1.000000
Aristolochia_contorta	890	890	0	0	0	0	0	0	0	1.000000
Aristolochia_fimbriata	837	837	0	0	0	0	0	0	0	1.000000
Armoracia_rusticana	2276	2276	0	0	0	0	0	0	0	1.000000
Artemisia_argyi	5399	5399	0	0	0	0	0	0	0	1.000000
Artocarpus_altilis	2090	2090	0	0	0	0	0	0	0	1.000000
Artocarpus_nanchuanensis	2341	0	2341	2341	0	2341	0	0	0	0.000000
Asparagus_officinalis	1023	1023	0	0	0	0	0	0	0	1.000000
Asparagus_setaceus	1054	1054	0	0	0	0	0	0	0	1.000000
Asterochloris_glomerata	311	311	0	0	0	0	0	0	0	1.000000
Atalantia_buxifolia	1352	1352	0	0	0	0	0	1234	1234	1.000000
Atriplex_hortensis	1265	1265	0	0	0	0	0	0	0	1.000000
Atropa_belladonna	3072	3072	0	0	0	0	0	0	0	1.000000
Auxenochlorella_protothecoides	171	171	0	0	0	0	0	0	0	1.000000
Avena_atlantica	2382	2382	0	0	0	0	0	0	0	1.000000
Avena_eriantha	2245	2245	0	0	0	0	0	0	0	1.000000
Avena_strigosa	2315	2315	0	0	0	0	0	2312	2312	1.000000
Averrhoa_carambola	1442	1442	0	0	0	0	0	0	0	1.000000
Azolla_filiculoides	952	952	0	0	0	0	0	0	0	1.000000
Balanophora_fungosa	481	481	0	0	0	0	0	0	0	1.000000
Balanophora_subcupularis	393	393	0	0	0	0	0	0	0	1.000000
Barbarea_vulgaris	1556	1556	0	0	0	0	0	0	0	1.000000
Bathycoccus_prasinos	147	147	0	0	0	0	0	0	0	1.000000
Bauhinia_variegata	2592	2592	0	0	0	0	0	0	0	1.000000
Begonia_darthvaderiana	854	854	0	0	0	0	0	0	0	1.000000
Begonia_fuchsioides	1764	1764	0	0	0	0	0	0	0	1.000000
Begonia_loranthoides	971	971	0	0	0	0	0	0	0	1.000000
Begonia_masoniana	881	881	0	0	0	0	0	0	0	1.000000
Begonia_peltatifolia	812	812	0	0	0	0	0	0	0	1.000000
Benincasa_hispida	1044	1044	0	0	0	0	0	0	0	1.000000
Beta_patula	1078	1078	0	0	0	0	0	0	0	1.000000
Betula_platyphylla	2311	2311	0	0	0	0	0	2114	2114	1.000000
Boea_hygrometrica	980	980	0	0	0	0	0	0	0	1.000000
Boechera_retrofracta	1729	1729	0	0	0	0	0	0	0	1.000000
Boechera_stricta	1699	1699	0	0	0	0	0	0	0	1.000000
Boehmeria_nivea	1037	1037	0	0	0	0	0	0	0	1.000000
Bombax_ceiba	2615	2615	0	0	0	0	0	0	0	1.000000
