species	type	filename	invalid_chars	record_count	example_seq_id
Arabidopsis_halleri	CDS	Arabidopsis_halleri.rga.cds.fa	Y	12	g32075.t1
Arabidopsis_halleri	CDS	Arabidopsis_halleri.rga.cds.fa	RY	12	g18911.t1
Arabidopsis_halleri	CDS	Arabidopsis_halleri.rga.cds.fa	R	11	g08002.t1
Arabidopsis_halleri	CDS	Arabidopsis_halleri.rga.cds.fa	W	6	g16883.t1
Arabidopsis_halleri	CDS	Arabidopsis_halleri.rga.cds.fa	K	5	g16305.t1
Arabidopsis_halleri	CDS	Arabidopsis_halleri.rga.cds.fa	KMRSWY	5	g16273.t1
Arabidopsis_halleri	CDS	Arabidopsis_halleri.rga.cds.fa	MRY	4	g16401.t1
Arabidopsis_halleri	CDS	Arabidopsis_halleri.rga.cds.fa	S	3	g26276.t1
Arabidopsis_halleri	CDS	Arabidopsis_halleri.rga.cds.fa	KRY	3	g31004.t1
Arabidopsis_halleri	CDS	Arabidopsis_halleri.rga.cds.fa	RW	3	g31633.t1
Arabidopsis_halleri	CDS	Arabidopsis_halleri.rga.cds.fa	RWY	3	g29779.t3
Arabidopsis_halleri	CDS	Arabidopsis_halleri.rga.cds.fa	KY	3	g15194.t1
Arabidopsis_halleri	CDS	Arabidopsis_halleri.rga.cds.fa	WY	3	g04094.t1
Arabidopsis_halleri	CDS	Arabidopsis_halleri.rga.cds.fa	M	3	g14703.t1
Arabidopsis_halleri	CDS	Arabidopsis_halleri.rga.cds.fa	RSWY	2	g14214.t1
Arabidopsis_halleri	CDS	Arabidopsis_halleri.rga.cds.fa	KMRWY	2	g11898.t1
Arabidopsis_halleri	CDS	Arabidopsis_halleri.rga.cds.fa	KR	2	g27987.t1
Arabidopsis_halleri	CDS	Arabidopsis_halleri.rga.cds.fa	KMRSY	1	g26873.t1
Arabidopsis_halleri	CDS	Arabidopsis_halleri.rga.cds.fa	KRS	1	g23482.t1
Arabidopsis_halleri	CDS	Arabidopsis_halleri.rga.cds.fa	KRW	1	g19873.t1
Arabidopsis_halleri	CDS	Arabidopsis_halleri.rga.cds.fa	KM	1	g26273.t1
Arabidopsis_halleri	CDS	Arabidopsis_halleri.rga.cds.fa	KW	1	g00961.t1
Arabidopsis_halleri	CDS	Arabidopsis_halleri.rga.cds.fa	MWY	1	g31505.t1
Arabidopsis_halleri	CDS	Arabidopsis_halleri.rga.cds.fa	SW	1	g25269.t1
Arabidopsis_halleri	CDS	Arabidopsis_halleri.rga.cds.fa	MY	1	g24131.t1
Arabidopsis_halleri	CDS	Arabidopsis_halleri.rga.cds.fa	MRSWY	1	g22818.t1
Arabidopsis_halleri	CDS	Arabidopsis_halleri.rga.cds.fa	KS	1	g16859.t1
Arabidopsis_halleri	CDS	Arabidopsis_halleri.rga.cds.fa	KRSWY	1	g31917.t1
Arabidopsis_halleri	CDS	Arabidopsis_halleri.rga.cds.fa	MRSW	1	g31728.t1
Arabidopsis_halleri	CDS	Arabidopsis_halleri.rga.cds.fa	KRSY	1	g19506.t1
Arabidopsis_halleri	CDS	Arabidopsis_halleri.rga.cds.fa	KMWY	1	g30633.t1
Arabidopsis_halleri	CDS	Arabidopsis_halleri.rga.cds.fa	MR	1	g09458.t1
Arabidopsis_halleri	CDS	Arabidopsis_halleri.rga.cds.fa	MW	1	g26628.t1
Arabis_nemorensis	CDS	Arabis_nemorensis.rga.cds.fa	W	1	rna_ANE_LOCUS24463
Arabis_nemorensis	CDS	Arabis_nemorensis.rga.cds.fa	S	1	rna_ANE_LOCUS25538
Arabis_nemorensis	CDS	Arabis_nemorensis.rga.cds.fa	M	1	rna_ANE_LOCUS19004
Arabis_nemorensis	CDS	Arabis_nemorensis.rga.cds.fa	Y	1	rna_ANE_LOCUS7172
Arabis_nemorensis	CDS	Arabis_nemorensis.rga.cds.fa	K	1	rna_ANE_LOCUS4036
Arabis_nemorensis	CDS	Arabis_nemorensis.rga.cds.fa	KMSWY	1	rna_ANE_LOCUS15458
Brachypodium_stace	CDS	Brachypodium_stace.rga.cds.fa	KMRSWY	2	Brast10G185900.1.v0.1.stacei
Brachypodium_stace	CDS	Brachypodium_stace.rga.cds.fa	HKRY	2	Brast08G241600.1.v0.1.stacei
Brachypodium_stace	CDS	Brachypodium_stace.rga.cds.fa	R	2	Brast04G292500.1.v0.1.stacei
Brachypodium_stace	CDS	Brachypodium_stace.rga.cds.fa	KSY	2	Brast04G245700.1.v0.1.stacei
Brachypodium_stace	CDS	Brachypodium_stace.rga.cds.fa	KMRS	2	Brast08G038700.1.v0.1.stacei
Brachypodium_stace	CDS	Brachypodium_stace.rga.cds.fa	Y	2	Brast06G079800.1.v0.1.stacei
Brachypodium_stace	CDS	Brachypodium_stace.rga.cds.fa	KMRY	2	Brast10G196800.1.v0.1.stacei
Brachypodium_stace	CDS	Brachypodium_stace.rga.cds.fa	M	1	Brast10G036900.1.v0.1.stacei
Brachypodium_stace	CDS	Brachypodium_stace.rga.cds.fa	RW	1	Brast08G247300.1.v0.1.stacei
Brachypodium_stace	CDS	Brachypodium_stace.rga.cds.fa	MRY	1	Brast01G384600.1.v0.1.stacei
Brachypodium_stace	CDS	Brachypodium_stace.rga.cds.fa	KRY	1	Brast09G029700.1.v0.1.stacei
Brachypodium_stace	CDS	Brachypodium_stace.rga.cds.fa	MY	1	Brast01G390200.1.v0.1.stacei
Brachypodium_stace	CDS	Brachypodium_stace.rga.cds.fa	S	1	Brast06G136100.1.v0.1.stacei
Brachypodium_stace	CDS	Brachypodium_stace.rga.cds.fa	MRS	1	Brast02G083600.1.v0.1.stacei
Brachypodium_stace	CDS	Brachypodium_stace.rga.cds.fa	KRSWY	1	Brast06G136500.1.v0.1.stacei
Brachypodium_stace	CDS	Brachypodium_stace.rga.cds.fa	K	1	Brast10G020400.1.v0.1.stacei
Brachypodium_stace	CDS	Brachypodium_stace.rga.cds.fa	SWY	1	Brast08G038600.1.v0.1.stacei
Brachypodium_stace	CDS	Brachypodium_stace.rga.cds.fa	KRV	1	Brast03G298000.1.v0.1.stacei
Brassica_nigra	CDS	Brassica_nigra.rga.cds.fa	DEFHIKLMPQRSVWY	2331	BniB05g069730.2N.1
Brassica_nigra	CDS	Brassica_nigra.rga.cds.fa	DEFHIKLMPQRSVY	33	BniB03g021960.2N.1
Brassica_nigra	CDS	Brassica_nigra.rga.cds.fa	DEFHIKLMPQRSVWXY	20	BniB04g016520.2N.1
Brassica_nigra	CDS	Brassica_nigra.rga.cds.fa	DEFIKLMPQRSVWY	10	BniB03g052230.2N.1
Brassica_nigra	CDS	Brassica_nigra.rga.cds.fa	DEFHIKLMPQRSVW	8	BniB01g044760.2N.1
Brassica_nigra	CDS	Brassica_nigra.rga.cds.fa	DEFHIKLMPRSVWY	4	BniB08g006140.2N.1
Brassica_nigra	CDS	Brassica_nigra.rga.cds.fa	DEFHIKLMPRSVY	3	BniB02g046100.2N.1
Brassica_nigra	CDS	Brassica_nigra.rga.cds.fa	DEFHIKLMQRSVY	3	BniB04g047170.2N.1
Brassica_nigra	CDS	Brassica_nigra.rga.cds.fa	DEFHIKLMPQRSV	2	BniB02g040350.2N.1
Brassica_nigra	CDS	Brassica_nigra.rga.cds.fa	DEFHILMPQRSVWY	2	BniB05g069110.2N.1
Brassica_nigra	CDS	Brassica_nigra.rga.cds.fa	DEFIKLMPQRSVY	2	BniB08g021990.2N.1
Brassica_nigra	CDS	Brassica_nigra.rga.cds.fa	DEFHIKLMQRSVWY	2	BniB01g011670.2N.1
Brassica_nigra	CDS	Brassica_nigra.rga.cds.fa	DEHIKLPQRSV	1	BniB04g016480.2N.1
Brassica_nigra	CDS	Brassica_nigra.rga.cds.fa	DEFIKLMPQRSVW	1	BniB03g061370.2N.1
Brassica_nigra	CDS	Brassica_nigra.rga.cds.fa	DEHIKLMPQRSVWY	1	BniB01g044820.2N.1
Brassica_nigra	CDS	Brassica_nigra.rga.cds.fa	DEHIKLMPQRSV	1	BniB03g026710.2N.1
Brassica_nigra	CDS	Brassica_nigra.rga.cds.fa	DEFIKLMPQRSWY	1	BniB06g055500.2N.1
Brassica_nigra	CDS	Brassica_nigra.rga.cds.fa	DEHIKLMPQRSVY	1	BniB04g005110.2N.1
Brassica_nigra	CDS	Brassica_nigra.rga.cds.fa	DEFHIKLQRSVWY	1	BniB04g055460.2N.1
Brassica_nigra	CDS	Brassica_nigra.rga.cds.fa	DEFIKLPQRSVWY	1	BniB06g056600.2N.1
Brassica_nigra	CDS	Brassica_nigra.rga.cds.fa	DEFHIKLQRSVW	1	BniB03g028720.2N.1
Brassica_nigra	CDS	Brassica_nigra.rga.cds.fa	DFIKLMPRSVY	1	BniB03g060070.2N.1
Brassica_nigra	CDS	Brassica_nigra.rga.cds.fa	EIKLPRSVWXY	1	BniB03g041420.2N.1
Catharanthus_roseus	CDS	Catharanthus_roseus.rga.cds.fa	Y	3	CRO_T030320
Catharanthus_roseus	CDS	Catharanthus_roseus.rga.cds.fa	R	3	CRO_T003736
Catharanthus_roseus	CDS	Catharanthus_roseus.rga.cds.fa	S	2	CRO_T001234
Catharanthus_roseus	CDS	Catharanthus_roseus.rga.cds.fa	RY	1	CRO_T030916
Catharanthus_roseus	CDS	Catharanthus_roseus.rga.cds.fa	KY	1	CRO_T031789
Catharanthus_roseus	CDS	Catharanthus_roseus.rga.cds.fa	KMRY	1	CRO_T018430
Catharanthus_roseus	CDS	Catharanthus_roseus.rga.cds.fa	KRW	1	CRO_T010467
Catharanthus_roseus	CDS	Catharanthus_roseus.rga.cds.fa	KR	1	CRO_T032198
Catharanthus_roseus	CDS	Catharanthus_roseus.rga.cds.fa	KRY	1	CRO_T028847
Catharanthus_roseus	CDS	Catharanthus_roseus.rga.cds.fa	MSW	1	CRO_T018290
Chara_braunii	CDS	Chara_braunii.rga.cds.fa	R	11	GBG77308
Chara_braunii	CDS	Chara_braunii.rga.cds.fa	MRSY	10	GBG86975
Chara_braunii	CDS	Chara_braunii.rga.cds.fa	Y	9	GBG82475
Chara_braunii	CDS	Chara_braunii.rga.cds.fa	KMRSWY	8	GBG84946
Chara_braunii	CDS	Chara_braunii.rga.cds.fa	S	7	GBG88271
Chara_braunii	CDS	Chara_braunii.rga.cds.fa	KRSY	6	GBG88264
Chara_braunii	CDS	Chara_braunii.rga.cds.fa	RY	6	GBG75531
Chara_braunii	CDS	Chara_braunii.rga.cds.fa	K	6	GBG71176
Chara_braunii	CDS	Chara_braunii.rga.cds.fa	KMRSY	6	GBG79938
Chara_braunii	CDS	Chara_braunii.rga.cds.fa	KMRY	5	GBG93229
Chara_braunii	CDS	Chara_braunii.rga.cds.fa	MRY	4	GBG67772
Chara_braunii	CDS	Chara_braunii.rga.cds.fa	MRSWY	3	GBG67032
Chara_braunii	CDS	Chara_braunii.rga.cds.fa	KRSWY	3	GBG83150
Chara_braunii	CDS	Chara_braunii.rga.cds.fa	KRY	2	GBG92287
Chara_braunii	CDS	Chara_braunii.rga.cds.fa	KMSY	2	GBG67055
Chara_braunii	CDS	Chara_braunii.rga.cds.fa	KMSWY	2	GBG79918
Chara_braunii	CDS	Chara_braunii.rga.cds.fa	MR	2	GBG92158
Chara_braunii	CDS	Chara_braunii.rga.cds.fa	KMY	2	GBG82109
Chara_braunii	CDS	Chara_braunii.rga.cds.fa	SY	2	GBG90309
Chara_braunii	CDS	Chara_braunii.rga.cds.fa	KRW	2	GBG84617
Chara_braunii	CDS	Chara_braunii.rga.cds.fa	MSY	2	GBG87282
Chara_braunii	CDS	Chara_braunii.rga.cds.fa	M	2	GBG83381
Chara_braunii	CDS	Chara_braunii.rga.cds.fa	RWY	1	GBG71710
Chara_braunii	CDS	Chara_braunii.rga.cds.fa	WY	1	GBG73607
Chara_braunii	CDS	Chara_braunii.rga.cds.fa	KRWY	1	GBG77264
Chara_braunii	CDS	Chara_braunii.rga.cds.fa	KMR	1	GBG92634
Chara_braunii	CDS	Chara_braunii.rga.cds.fa	RW	1	GBG67420
Chara_braunii	CDS	Chara_braunii.rga.cds.fa	RSW	1	GBG69107
Chara_braunii	CDS	Chara_braunii.rga.cds.fa	RS	1	GBG79011
Chara_braunii	CDS	Chara_braunii.rga.cds.fa	KY	1	GBG79925
Chara_braunii	CDS	Chara_braunii.rga.cds.fa	MRWY	1	GBG92520
Chara_braunii	CDS	Chara_braunii.rga.cds.fa	DMSVY	1	GBG85579
Chara_braunii	CDS	Chara_braunii.rga.cds.fa	RSY	1	GBG83509
Chara_braunii	CDS	Chara_braunii.rga.cds.fa	MSW	1	GBG92155
Chara_braunii	CDS	Chara_braunii.rga.cds.fa	MY	1	GBG82884
Chara_braunii	CDS	Chara_braunii.rga.cds.fa	MRSW	1	GBG77267
Chara_braunii	CDS	Chara_braunii.rga.cds.fa	KS	1	GBG92285
Chara_braunii	CDS	Chara_braunii.rga.cds.fa	KSW	1	GBG83263
Cicer_reticulatum	CDS	Cicer_reticulatum.rga.cds.fa	R	8	Cr_08076.1_v2
Cicer_reticulatum	CDS	Cicer_reticulatum.rga.cds.fa	Y	6	Cr_13376.1_v2
Cicer_reticulatum	CDS	Cicer_reticulatum.rga.cds.fa	RW	4	Cr_08080.1_v2
Cicer_reticulatum	CDS	Cicer_reticulatum.rga.cds.fa	KRY	4	Cr_12114.1_v2
Cicer_reticulatum	CDS	Cicer_reticulatum.rga.cds.fa	KRS	3	Cr_02972.1_v2
Cicer_reticulatum	CDS	Cicer_reticulatum.rga.cds.fa	RY	3	Cr_15454.1_v2
Cicer_reticulatum	CDS	Cicer_reticulatum.rga.cds.fa	KY	3	Cr_00399.1_v2
Cicer_reticulatum	CDS	Cicer_reticulatum.rga.cds.fa	RSY	3	Cr_19970.1_v2
Cicer_reticulatum	CDS	Cicer_reticulatum.rga.cds.fa	RSWY	2	Cr_06077.1_v2
Cicer_reticulatum	CDS	Cicer_reticulatum.rga.cds.fa	RWY	2	Cr_19342.1_v2
Cicer_reticulatum	CDS	Cicer_reticulatum.rga.cds.fa	KRSY	2	Cr_25021.1_v2
Cicer_reticulatum	CDS	Cicer_reticulatum.rga.cds.fa	K	2	Cr_06708.1_v2
Cicer_reticulatum	CDS	Cicer_reticulatum.rga.cds.fa	RS	2	Cr_11937.1_v2
Cicer_reticulatum	CDS	Cicer_reticulatum.rga.cds.fa	MRWY	1	Cr_24642.1_v2
Cicer_reticulatum	CDS	Cicer_reticulatum.rga.cds.fa	MRY	1	Cr_05363.1_v2
Cicer_reticulatum	CDS	Cicer_reticulatum.rga.cds.fa	MRSWY	1	Cr_21925.1_v2
Cicer_reticulatum	CDS	Cicer_reticulatum.rga.cds.fa	S	1	Cr_19339.1_v2
Cicer_reticulatum	CDS	Cicer_reticulatum.rga.cds.fa	KMRWY	1	Cr_07443.1_v2
Cicer_reticulatum	CDS	Cicer_reticulatum.rga.cds.fa	KMRY	1	Cr_00337.1_v2
